problem,seed,generation,fes,volume,constraint_size,best_x
QuickSimu1,2027,19,899,0.00134506,0.19499198399231243,"[1.6, 0.010000269167790381, 0.01]"
QuickSimu1,2027,20,948,0.001345,0.18855464960849028,"[1.6, 0.01, 0.01]"
QuickSimu1,2027,21,997,0.001345,0.18855464960849028,"[1.6, 0.01, 0.01]"
QuickSimu1,2027,22,1045,0.001345,0.18855464960849028,"[1.6, 0.01, 0.01]"
QuickSimu1,2027,23,1093,0.001345,0.18855464960849028,"[1.6, 0.01, 0.01]"
QuickSimu1,2027,24,1136,0.001345,0.18855464960849028,"[1.6, 0.01, 0.01]"
QuickSimu1,2027,25,1180,0.001345,0.18855464960849028,"[1.6, 0.01, 0.01]"
QuickSimu1,2027,26,1224,0.001345,0.18855464960849028,"[1.6, 0.01, 0.01]"
QuickSimu1,2027,27,1267,0.001345,0.18855464960849028,"[1.6, 0.01, 0.01]"
QuickSimu1,2027,28,1310,0.001345,0.18855464960849028,"[1.6, 0.01, 0.01]"
QuickSimu1,2027,29,1351,0.001345,0.18855464960849028,"[1.6, 0.01, 0.01]"
QuickSimu1,2027,30,1396,0.001345,0.18855464960849028,"[1.6, 0.01, 0.01]"
QuickSimu1,2028,1,50,0.00184422047,0.1109173848623745,"[1.3911371462353124, 0.010252380486981098, 0.01829931355821685]"
QuickSimu1,2028,2,95,0.00184422047,0.1109173848623745,"[1.3911371462353124, 0.010252380486981098, 0.01829931355821685]"
QuickSimu1,2028,3,140,0.00141407436,0.14809952918518215,"[0.7789775577450371, 0.010140756206054993, 0.01]"
QuickSimu1,2028,4,185,0.00138016577,0.15157068881233204,"[0.8966845801178923, 0.01, 0.01]"
QuickSimu1,2028,5,234,0.00138016577,0.15157068881233204,"[0.8966845801178923, 0.01, 0.01]"
QuickSimu1,2028,6,279,0.00137545328,0.16714122369509166,"[1.078055401979784, 0.010021004526335909, 0.01]"
QuickSimu1,2028,7,324,0.00137545328,0.16714122369509166,"[1.078055401979784, 0.010021004526335909, 0.01]"
QuickSimu1,2028,8,369,0.00136911107,0.1116958060639847,"[1.1187849028127903, 0.01, 0.010000800582988818]"
QuickSimu1,2028,9,414,0.00136911107,0.1116958060639847,"[1.1187849028127903, 0.01, 0.010000800582988818]"
QuickSimu1,2028,10,463,0.00136911107,0.1116958060639847,"[1.1187849028127903, 0.01, 0.010000800582988818]"
QuickSimu1,2028,11,508,0.00136676665,0.1154134235686629,"[1.1769457199265214, 0.01, 0.010010144240773762]"
QuickSimu1,2028,12,553,0.00136676665,0.1154134235686629,"[1.1769457199265214, 0.01, 0.010010144240773762]"
QuickSimu1,2028,13,598,0.00136361414,0.11833902234363901,"[1.2291636182180017, 0.01, 0.010001237723540068]"
QuickSimu1,2028,14,643,0.00136318992,0.16974255356265994,"[1.2362016859306042, 0.01, 0.01]"
QuickSimu1,2028,15,693,0.00135935504,0.1715928914883269,"[1.3128991740685891, 0.01, 0.01]"
QuickSimu1,2028,16,738,0.00135663192,0.1249789329212223,"[1.3675631641194028, 0.01, 0.010000190611370516]"
QuickSimu1,2028,17,783,0.00135438797,0.1776458549927022,"[1.4122405869094181, 0.01, 0.01]"
QuickSimu1,2028,18,828,0.00135281719,0.13631078518379075,"[1.4456080030115894, 0.010000445787672115, 0.010000005745343547]"
QuickSimu1,2028,19,877,0.00135281719,0.13631078518379075,"[1.4456080030115894, 0.010000445787672115, 0.010000005745343547]"
QuickSimu1,2028,20,926,0.00135281719,0.13631078518379075,"[1.4456080030115894, 0.010000445787672115, 0.010000005745343547]"
QuickSimu1,2028,21,975,0.00135281719,0.13631078518379075,"[1.4456080030115894, 0.010000445787672115, 0.010000005745343547]"
QuickSimu1,2028,22,1024,0.00135278707,0.13451323997695108,"[1.446195380471806, 0.010000442325552696, 0.010000005745343547]"
QuickSimu1,2028,23,1071,0.00135200623,0.18217237149804105,"[1.4598753721424784, 0.01, 0.01]"
QuickSimu1,2028,24,1120,0.00135009559,0.128526241493091,"[1.4981561745780312, 0.01, 0.010000071293222924]"
QuickSimu1,2028,25,1169,0.00134856143,0.1337792615097959,"[1.5820440650338532, 0.01, 0.01006011226186874]"
QuickSimu1,2028,26,1218,0.00134789548,0.19235353835583874,"[1.5441293735856945, 0.010000460853173075, 0.01]"
QuickSimu1,2028,27,1266,0.001345,0.18855464960849028,"[1.6, 0.01, 0.01]"
QuickSimu1,2028,28,1315,0.001345,0.18855464960849028,"[1.6, 0.01, 0.01]"
QuickSimu1,2028,29,1364,0.001345,0.18855464960849028,"[1.6, 0.01, 0.01]"
QuickSimu1,2028,30,1413,0.001345,0.18855464960849028,"[1.6, 0.01, 0.01]"
QuickSimu2,2026,1,50,0.07346660719074917,3.422538148494218e-07,"[0.2330854001404865, 0.6167932389892061]"
QuickSimu2,2026,2,95,0.07315355290526296,1.8978220055921405e-07,"[0.22923901109682304, 0.6255900413579834]"
QuickSimu2,2026,3,140,0.07315355290526296,1.8978220055921405e-07,"[0.22923901109682304, 0.6255900413579834]"
QuickSimu2,2026,4,185,0.06341737366901973,2.848792905889486e-07,"[0.24944915779346483, 0.2]"
QuickSimu2,2026,5,235,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2026,6,280,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2026,7,324,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2026,8,367,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2026,9,407,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2026,10,449,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2026,11,488,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2026,12,524,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2026,13,558,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2026,14,595,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2026,15,635,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2026,16,668,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
