problem,model_type,seed,sample_count,x1,x2,f_real,g_real,feasible_real
QuickSimu2,kan_gp,2028,600,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,kriging,2026,700,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,kriging,2027,700,0.2,0.20000000000000004,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,kriging,2028,700,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,rbf,2026,700,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,rbf,2027,700,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,rbf,2028,700,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,polynomial,2026,700,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,polynomial,2027,700,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,polynomial,2028,700,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,kan,2026,700,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,kan,2027,700,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,kan,2028,700,0.2,0.2000000543277426,0.05600000162983229,5.707175624044117e-07,False
QuickSimu2,kan_gp,2026,700,0.20000001145240665,0.2,0.05600000171786101,5.644990389593133e-07,False
QuickSimu2,kan_gp,2027,700,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,kan_gp,2028,700,0.20000019157850868,0.2,0.05600002873677631,5.726157901261526e-07,False
QuickSimu2,kriging,2026,800,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,kriging,2027,800,0.2,0.20000000000000004,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,kriging,2028,800,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,rbf,2026,800,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,rbf,2027,800,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,rbf,2028,800,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,polynomial,2026,800,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,polynomial,2027,800,0.20000000000000004,0.2,0.05600000000000002,5.632140729568762e-07,False
QuickSimu2,polynomial,2028,800,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,kan,2026,800,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,kan,2027,800,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,kan,2028,800,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,kan_gp,2026,800,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,kan_gp,2027,800,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,kan_gp,2028,800,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,kriging,2026,900,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,kriging,2027,900,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,kriging,2028,900,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,rbf,2026,900,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,rbf,2027,900,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,rbf,2028,900,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,polynomial,2026,900,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,polynomial,2027,900,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,polynomial,2028,900,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,kan,2026,900,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,kan,2027,900,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,kan,2028,900,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,kan_gp,2026,900,0.2,0.2599964637221704,0.05779989391166512,3.51812116540331e-07,False
QuickSimu2,kan_gp,2027,900,0.2,0.2000005465645023,0.05600001639693508,5.730458788505382e-07,False
QuickSimu2,kan_gp,2028,900,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,kriging,2026,1000,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,kriging,2027,1000,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
