problem,model_type,seed,sample_count,x1,x2,x3,f_real,g_real,feasible_real
QuickSimu1,rbf,2026,800,0.6361841269796588,0.01,0.01,0.00139319079,0.152024091397174,False
QuickSimu1,rbf,2027,800,0.4,0.01,0.01,0.001405,0.1918458280602029,False
QuickSimu1,rbf,2028,800,0.9636659401836298,0.01,0.01,0.0013768167,0.15281726619880748,False
QuickSimu1,polynomial,2026,800,1.6,0.01,0.08,0.003809,0.08852864243313893,False
QuickSimu1,polynomial,2027,800,1.6,0.01,0.08,0.003809,0.08852864243313893,False
QuickSimu1,polynomial,2028,800,1.6,0.01,0.08,0.003809,0.08852864243313893,False
QuickSimu1,kan,2026,800,0.4,0.01,0.01,0.001405,0.1918458280602029,False
QuickSimu1,kan,2027,800,0.4,0.01,0.01,0.001405,0.1918458280602029,False
QuickSimu1,kan,2028,800,0.40034248479065226,0.010000000000964812,0.01,0.00140498288,0.19562749480758873,False
QuickSimu1,kan_gp,2026,800,0.4,0.01,0.01,0.001405,0.1918458280602029,False
QuickSimu1,kan_gp,2027,800,1.4999405569742204,0.01,0.01,0.00135000297,0.17926454614119114,False
QuickSimu1,kan_gp,2028,800,1.6,0.010000028506882464,0.01,0.00134500635,0.19048694635193214,False
QuickSimu1,kriging,2026,900,0.6342694706173906,0.01,0.01,0.00139328653,0.1567722641570874,False
QuickSimu1,kriging,2027,900,0.7853694015043711,0.010000000580759198,0.01000016727510273,0.00138574439,0.10118550258176277,False
QuickSimu1,kriging,2028,900,0.970180381555144,0.01,0.010000102857035823,0.00137649806,0.09919526832676286,False
QuickSimu1,rbf,2026,900,0.9262810173847063,0.01,0.01,0.00137868595,0.15086934093113363,False
QuickSimu1,rbf,2027,900,1.3442967858568744,0.01,0.01,0.00135778516,0.170250050963406,False
QuickSimu1,rbf,2028,900,0.9636768838115616,0.01,0.01,0.00137681616,0.1502132821699253,False
QuickSimu1,polynomial,2026,900,1.6,0.01,0.08,0.003809,0.08852864243313893,False
QuickSimu1,polynomial,2027,900,1.6,0.01,0.08,0.003809,0.08852864243313893,False
QuickSimu1,polynomial,2028,900,1.6,0.01,0.08,0.003809,0.08852864243313893,False
QuickSimu1,kan,2026,900,0.4,0.01,0.010000003043339898,0.00140500028,0.12374204361147652,False
QuickSimu1,kan,2027,900,0.4,0.01,0.01,0.001405,0.1918458280602029,False
QuickSimu1,kan,2028,900,1.4861030394201824,0.01,0.01,0.00135069485,0.18311135627970054,False
QuickSimu1,kan_gp,2026,900,0.8105260806900695,0.01,0.01,0.0013844737,0.1478015118137112,False
QuickSimu1,kan_gp,2027,900,1.58168139817319,0.01,0.01,0.00134591593,0.18701106494337333,False
QuickSimu1,kan_gp,2028,900,0.6027420561681532,0.01,0.01,0.0013948629,0.15595836670813096,False
QuickSimu1,kriging,2026,1000,1.2495126913286738,0.01,0.01,0.00136252437,0.16632162403735834,False
QuickSimu1,kriging,2027,1000,1.343416326615113,0.01,0.01,0.00135782918,0.174675346385607,False
QuickSimu1,kriging,2028,1000,0.9695942104200688,0.01,0.01,0.00137652029,0.15146895525448223,False
